step,location,person,status
0,0,468,Healthy
0,0,565,Healthy
0,0,913,Healthy
0,1,174,Healthy
0,1,198,Healthy
0,2,509,Healthy
0,2,377,Healthy
0,3,933,Healthy
0,3,528,Healthy
0,4,432,Healthy
0,5,969,Healthy
0,5,385,Healthy
0,5,728,Healthy
0,6,423,Healthy
0,6,944,Healthy
0,7,82,Healthy
0,7,832,Healthy
0,7,180,Healthy
0,7,28,Healthy
0,8,763,Healthy
0,9,630,Healthy
0,10,428,Healthy
0,10,62,Healthy
0,10,86,Healthy
0,11,504,Healthy
0,11,866,Healthy
0,12,60,Healthy
0,13,578,Healthy
0,13,984,Healthy
0,13,717,Healthy
0,13,393,Healthy
0,13,576,Healthy
0,14,610,Healthy
0,14,795,Healthy
0,14,546,Healthy
0,15,622,Healthy
0,15,791,Healthy
0,15,85,Healthy
0,15,30,Healthy
0,16,962,Healthy
0,17,641,Healthy
0,19,954,Healthy
0,20,746,Healthy
0,20,529,Healthy
0,21,411,Healthy
0,21,170,Healthy
0,21,726,Healthy
0,21,904,Healthy
0,22,754,Healthy
0,22,664,Healthy
0,22,557,Healthy
0,23,602,Healthy
0,23,963,Healthy
0,23,846,Healthy
0,23,870,Healthy
0,24,797,Healthy
0,24,294,Healthy
0,25,79,Healthy
0,25,668,Healthy
0,26,238,Healthy
0,27,376,Healthy
0,27,880,Healthy
0,27,745,Healthy
0,28,414,Healthy
0,28,689,Healthy
0,29,925,Healthy
0,29,616,Healthy
0,29,985,Healthy
0,29,826,Healthy
0,29,168,Healthy
0,30,771,Healthy
0,30,334,Healthy
0,30,849,Healthy
0,30,16,Healthy
0,30,22,Healthy
0,31,691,Healthy
0,31,718,Healthy
0,31,572,Healthy
0,32,453,Healthy
0,32,369,Healthy
0,33,461,Healthy
0,33,347,Healthy
0,33,217,Healthy
0,34,931,Healthy
0,34,275,Healthy
0,35,56,Healthy
0,35,101,Healthy
0,35,856,Healthy
0,36,756,Healthy
0,36,260,Healthy
0,36,996,Healthy
0,36,151,Healthy
0,36,204,Healthy
0,36,221,Healthy
0,37,815,Healthy
0,37,144,Healthy
0,38,131,Healthy
0,38,344,Healthy
0,38,360,Healthy
0,39,413,Healthy
0,39,591,Healthy
0,39,257,Healthy
0,39,982,Healthy
0,39,827,Healthy
0,39,844,Healthy
0,39,742,Healthy
0,40,237,Healthy
0,41,964,Healthy
0,42,0,Healthy
0,42,358,Healthy
0,43,942,Healthy
0,44,875,Healthy
0,45,410,Healthy
0,45,970,Healthy
0,46,133,Healthy
0,46,523,Healthy
0,47,935,Healthy
0,47,605,Healthy
0,48,798,Healthy
